movieName,drama,thriller,comedy
Babe,0.74,0.22,0.43
Inception,0.63,0.92,0.44
A.I. Artificial Intelligence,0.67,0.46,0.22
Ace Ventura: Pet Detective,0.05,0.18,0.95
Bad Boys,0.71,0.42,0.78
Changing Lanes,0.44,0.41,0.38
Dumb & Dumber,0.0,0.17,1.0
Event Horizon,0.0,0.74,0.08
Full Metal Jacket,0.66,0.53,0.0
"I, Robot",0.34,1.0,0.35
Lady and the Tramp,0.12,0.01,0.8
Pocahontas,1.0,0.0,0.1
Pulp Fiction,0.82,0.95,0.95
Reservoir Dogs,0.39,0.82,0.36
Robin Hood: Prince of Thieves,0.39,0.0,0.35
"Shining, The",0.44,0.58,0.02
"South Park: Bigger, Longer and Uncut",0.34,0.56,0.72
Titanic,0.77,0.35,0.47
Transformers,0.23,0.93,0.19
