movieName,userId,value
Ace Ventura: Pet Detective,6,0.6
Babe,6,0.8
Bad Boys,6,0.8
Dumb & Dumber,6,0.6
Pulp Fiction,6,0.4
A.I. Artificial Intelligence,7,0.9
Babe,8,1.0
Dumb & Dumber,8,0.8
Pulp Fiction,8,0.8
Pulp Fiction,10,0.2
Titanic,11,1.0
Titanic,12,1.0
Event Horizon,13,0.8
Titanic,13,0.8
Ace Ventura: Pet Detective,14,0.4
Dumb & Dumber,14,0.6
Pulp Fiction,14,0.6
A.I. Artificial Intelligence,15,0.8
"I, Robot",15,0.7
Inception,15,0.7
Pulp Fiction,15,0.8
Full Metal Jacket,16,0.9
Inception,16,0.6
Pulp Fiction,16,0.6
Reservoir Dogs,16,0.8
Full Metal Jacket,17,0.9
Inception,17,0.9
Pulp Fiction,17,1.0
Reservoir Dogs,17,0.8
"Shining, The",17,0.8
Ace Ventura: Pet Detective,18,0.5
Babe,18,0.5
Bad Boys,18,0.7
Dumb & Dumber,18,0.5
Full Metal Jacket,18,0.9
"I, Robot",18,0.7
Inception,18,0.9
Pulp Fiction,18,0.8
Reservoir Dogs,18,0.8
Titanic,18,0.8
Transformers,18,0.6
Ace Ventura: Pet Detective,19,0.4
Babe,19,0.8
Dumb & Dumber,19,0.4
Event Horizon,19,0.2
Pocahontas,19,0.2
Reservoir Dogs,19,0.6
"Shining, The",19,0.4
"South Park: Bigger, Longer and Uncut",19,0.8
A.I. Artificial Intelligence,20,0.6
Babe,20,0.8
Changing Lanes,20,0.7
Lady and the Tramp,20,0.8
Pocahontas,20,1.0
"South Park: Bigger, Longer and Uncut",20,0.9
Bad Boys,21,0.6
"I, Robot",21,0.8
Inception,21,0.7
Pocahontas,21,0.6
Pulp Fiction,21,0.7
"South Park: Bigger, Longer and Uncut",21,0.5
Titanic,21,0.7
Transformers,21,0.7
Full Metal Jacket,23,1.0
Pulp Fiction,23,0.7
Reservoir Dogs,23,0.8
"Shining, The",23,1.0
Inception,24,0.8
Pulp Fiction,24,0.8
Dumb & Dumber,25,0.8
Inception,25,1.0
Ace Ventura: Pet Detective,26,0.6
Babe,26,0.6
Pulp Fiction,26,0.8
Babe,27,1.0
Full Metal Jacket,27,0.2
Lady and the Tramp,27,0.8
Pocahontas,27,0.8
Titanic,27,1.0
A.I. Artificial Intelligence,28,0.6
Bad Boys,28,0.3
Event Horizon,28,0.6
Full Metal Jacket,28,0.8
"I, Robot",28,0.8
Pulp Fiction,28,0.9
Reservoir Dogs,28,0.6
Full Metal Jacket,29,0.8
Pulp Fiction,29,0.7
Inception,30,1.0
Ace Ventura: Pet Detective,31,0.6
Pulp Fiction,32,1.0
Babe,33,0.6
Lady and the Tramp,33,0.8
Pulp Fiction,33,1.0
Robin Hood: Prince of Thieves,33,0.6
Titanic,33,0.8
Bad Boys,34,0.2
Titanic,34,0.1
Dumb & Dumber,35,0.6
Full Metal Jacket,36,0.5
Ace Ventura: Pet Detective,37,1.0
Dumb & Dumber,37,1.0
Pulp Fiction,37,1.0
