userId,drama,thriller,comedy
6,0.71,-0.65,0.56
7,0.85,0.22,0.18
8,0.89,-0.75,0.71
10,-0.02,0.2,0.02
11,0.94,0.33,0.07
12,0.94,0.18,0.29
13,0.75,0.75,0.29
14,0.07,0.04,0.49
15,0.52,0.42,-0.13
16,0.51,0.42,-0.31
17,0.62,0.52,-0.13
18,0.48,0.45,0.15
19,0.48,0.39,0.52
20,0.78,-0.08,0.82
21,0.36,0.46,0.05
23,0.89,0.7,-0.84
24,0.35,0.43,0.02
25,0.5,0.47,0.75
26,0.55,-0.28,0.55
27,0.74,0.11,0.75
28,0.66,0.64,-0.68
29,0.75,-0.08,0.03
30,0.52,0.45,0.11
31,0.29,0.07,0.56
32,0.33,0.25,0.4
33,0.65,-0.35,0.73
34,0.1,0.01,0.09
35,0.18,0.26,0.56
36,0.47,0.11,0.18
37,0.09,-0.06,0.97
