movieName,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
A.I. Artificial Intelligence,,0.9,,,,,,,0.8,,,,,0.6,,,,,,,0.6,,,,,,,,,
Ace Ventura: Pet Detective,0.6,,,,,,,0.4,,,,0.5,0.4,,,,,,0.6,,,,,0.6,,,,,,1.0
Babe,0.8,,1.0,,,,,,,,,0.5,0.8,0.8,,,,,0.6,1.0,,,,,,0.6,,,,
Bad Boys,0.8,,,,,,,,,,,0.7,,,0.6,,,,,,0.3,,,,,,0.2,,,
Changing Lanes,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,
Dumb & Dumber,0.6,,0.8,,,,,0.6,,,,0.5,0.4,,,,,0.8,,,,,,,,,,0.6,,1.0
Event Horizon,,,,,,,0.8,,,,,,0.2,,,,,,,,0.6,,,,,,,,,
Full Metal Jacket,,,,,,,,,,0.9,0.9,0.9,,,,1.0,,,,0.2,0.8,0.8,,,,,,,0.5,
"I, Robot",,,,,,,,,0.7,,,0.7,,,0.8,,,,,,0.8,,,,,,,,,
Inception,,,,,,,,,0.7,0.6,0.9,0.9,,,0.7,,0.8,1.0,,,,,1.0,,,,,,,
Lady and the Tramp,,,,,,,,,,,,,,0.8,,,,,,0.8,,,,,,0.8,,,,
Pocahontas,,,,,,,,,,,,,0.2,1.0,0.6,,,,,0.8,,,,,,,,,,
Pulp Fiction,0.4,,0.8,0.2,,,,0.6,0.8,0.6,1.0,0.8,,,0.7,0.7,0.8,,0.8,,0.9,0.7,,,1.0,1.0,,,,1.0
Reservoir Dogs,,,,,,,,,,0.8,0.8,0.8,0.6,,,0.8,,,,,0.6,,,,,,,,,
Robin Hood: Prince of Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,
"Shining, The",,,,,,,,,,,0.8,,0.4,,,1.0,,,,,,,,,,,,,,
"South Park: Bigger, Longer and Uncut",,,,,,,,,,,,,0.8,0.9,0.5,,,,,,,,,,,,,,,
Titanic,,,,,1.0,1.0,0.8,,,,,0.8,,,0.7,,,,,1.0,,,,,,0.8,0.1,,,
Transformers,,,,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,
